Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
personal, author-navigation,0.183,5,1.000,30,0.006,0.001,7.629
personal, author-navigation,0.183,5,1.000,30,0.005,0.000,7.031
personal, author-navigation,0.183,5,1.000,30,0.004,0.001,7.026
personal, author-sidebar,0.286,10,1.000,93,0.017,0.002,8.186
personal, author-sidebar,0.286,10,1.000,93,0.015,0.001,8.682
personal, author-sidebar,0.286,10,1.000,93,0.016,0.004,8.656
personal, author-bio,-,-,-,-,-,-,-,-
personal, author-bio,-,-,-,-,-,-,-,-
personal, author-bio,-,-,-,-,-,-,-,-
personal, author-pubs,0.193,20,1.000,223,0.033,0.002,113.337
personal, author-pubs,-,-,-,-,-,-,-,-
personal, author-pubs,-,-,-,-,-,-,-,-
icse, icse-logo,3.464,3,0.667,14,0.002,0.001,6.681
icse, icse-logo,3.464,3,0.667,14,0.002,0.001,6.265
icse, icse-logo,3.464,3,0.667,14,0.002,0.000,6.355
icse, icse-navigation,0.125,20,1.000,213,0.031,0.001,10.512
icse, icse-navigation,0.125,20,1.000,215,0.031,0.001,10.603
icse, icse-navigation,0.125,20,1.000,212,0.029,0.001,10.477
icse, icse-photos,138.847,20,0.300,228,0.033,0.002,10.307
icse, icse-photos,138.847,20,0.300,228,0.032,0.003,10.474
icse, icse-photos,138.847,20,0.300,228,0.033,0.003,10.380
icse, icse-tracks,0.146,25,1.000,358,0.049,0.002,17.863
icse, icse-tracks,0.146,25,1.000,359,0.049,0.003,18.142
icse, icse-tracks,0.146,25,1.000,358,0.048,0.002,17.803
icse, icse-dates,0.278,61,1.000,715,0.210,0.007,22.551
icse, icse-dates,0.221,61,1.000,715,0.196,0.006,22.367
icse, icse-dates,0.221,61,1.000,715,0.196,0.005,22.222
icse, icse-news,0.198,17,1.000,151,0.022,0.001,9.581
icse, icse-news,0.301,17,1.000,152,0.024,0.001,9.418
icse, icse-news,0.282,17,1.000,151,0.023,0.001,9.642
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-footer,0.205,79,1.000,1491,0.588,0.019,60.324
icse, icse-footer,0.209,79,1.000,1491,0.588,0.017,58.609
icse, icse-footer,0.233,79,1.000,1491,0.576,0.010,61.989
hackernews, hn-header,143.296,17,0.888,185,0.023,0.001,10.091
hackernews, hn-header,143.296,17,0.888,185,0.026,0.001,9.871
hackernews, hn-header,143.296,17,0.888,184,0.025,0.001,9.647
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
