Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
personal, author-navigation,0.169,5,1.000,34,0.006,0.001,11.331
personal, author-navigation,0.169,5,1.000,34,0.006,0.001,11.135
personal, author-navigation,0.169,5,1.000,34,0.006,0.001,11.042
personal, author-sidebar,0.339,10,0.900,93,0.013,0.002,19.305
personal, author-sidebar,0.414,10,0.800,93,0.014,0.001,19.460
personal, author-sidebar,0.401,10,1.000,93,0.015,0.002,19.140
personal, author-bio,0.616,14,0.714,135,0.021,0.001,25.448
personal, author-bio,0.430,14,0.786,135,0.021,0.003,24.739
personal, author-bio,0.733,14,0.571,135,0.023,0.001,25.112
personal, author-pubs,-,-,-,-,-,-,-,-
personal, author-pubs,-,-,-,-,-,-,-,-
personal, author-pubs,0.481,20,0.600,223,0.036,0.002,37.886
icse, icse-logo,3.464,3,0.667,14,0.003,0.000,8.259
icse, icse-logo,3.464,3,0.667,14,0.003,0.001,8.218
icse, icse-logo,3.464,3,0.667,14,0.002,0.000,8.376
icse, icse-navigation,0.538,20,0.600,226,0.034,0.002,33.226
icse, icse-navigation,0.499,20,0.600,226,0.032,0.001,33.325
icse, icse-navigation,0.831,20,0.525,226,0.037,0.002,33.418
icse, icse-photos,0.662,20,0.900,232,0.032,0.002,33.330
icse, icse-photos,0.668,20,0.895,232,0.037,0.002,32.858
icse, icse-photos,0.706,20,0.745,232,0.034,0.002,32.658
icse, icse-tracks,0.398,25,0.740,383,0.049,0.003,54.676
icse, icse-tracks,0.482,25,0.660,386,0.054,0.003,55.222
icse, icse-tracks,0.482,25,0.660,384,0.050,0.002,57.346
icse, icse-dates,0.671,61,0.533,642,0.210,0.004,97.633
icse, icse-dates,0.647,61,0.713,642,0.201,0.008,93.327
icse, icse-dates,0.652,61,0.680,642,0.198,0.007,93.715
icse, icse-news,0.509,17,0.706,150,0.025,0.001,26.892
icse, icse-news,0.506,17,0.882,150,0.025,0.001,26.893
icse, icse-news,0.556,17,0.588,151,0.024,0.001,26.250
icse, icse-content,0.746,22,0.341,215,0.040,0.003,119.340
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-content,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
icse, icse-footer,-,-,-,-,-,-,-,-
hackernews, hn-header,0.690,17,0.788,176,0.024,0.001,29.920
hackernews, hn-header,0.772,17,0.706,176,0.026,0.001,26.835
hackernews, hn-header,0.742,17,0.653,176,0.029,0.001,27.545
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-posts,-,-,-,-,-,-,-,-
hackernews, hn-post,0.431,10,0.950,102,0.017,0.001,19.512
hackernews, hn-post,0.430,10,0.950,102,0.018,0.001,19.176
hackernews, hn-post,0.405,10,0.950,102,0.014,0.001,19.287
hackernews, hn-footer,0.456,11,0.727,128,0.018,0.001,23.189
hackernews, hn-footer,0.889,11,0.318,128,0.018,0.001,26.187
hackernews, hn-footer,0.628,11,0.545,128,0.017,0.002,33.065
hackernews, hn-search,0.244,2,1.000,7,0.001,0.001,7.178
hackernews, hn-search,0.244,2,1.000,7,0.001,0.000,7.166
hackernews, hn-search,0.431,2,1.000,7,0.001,0.001,7.148
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-sidebar,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-options,-,-,-,-,-,-,-,-
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.000,9.727
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.001,9.391
ace, ace-sidebar-logo,0.306,3,0.667,21,0.003,0.001,9.040
ace, ace-option-toggle,0.675,7,0.714,59,0.009,0.001,15.168
ace, ace-option-toggle,0.445,7,1.000,59,0.009,0.001,15.142
ace, ace-option-toggle,0.409,7,1.000,59,0.009,0.001,15.031
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-option-dropdown,-,-,-,-,-,-,-,-
ace, ace-sidebar-footer,0.421,11,0.818,131,0.019,0.001,21.114
ace, ace-sidebar-footer,0.408,11,1.000,130,0.019,0.001,21.046
ace, ace-sidebar-footer,0.440,11,1.000,131,0.019,0.001,21.229
ace, ace-editor,0.286,5,0.980,46,0.006,0.001,11.163
ace, ace-editor,0.125,5,0.980,46,0.007,0.001,11.169
ace, ace-editor,0.286,5,0.980,46,0.007,0.001,11.140
ace, ace-prompt,0.180,4,1.000,39,0.005,0.001,10.627
ace, ace-prompt,0.212,4,1.000,39,0.005,0.000,10.708
ace, ace-prompt,0.141,4,1.000,39,0.007,0.001,10.673
overview, overview-header,0.296,4,0.750,28,0.004,0.000,9.637
overview, overview-header,0.296,4,0.750,28,0.004,0.000,10.367
overview, overview-header,0.214,4,1.000,28,0.004,0.000,9.629
overview, overview-hero,0.228,10,1.000,94,0.019,0.001,17.584
overview, overview-hero,0.228,10,1.000,94,0.015,0.001,17.219
overview, overview-hero,0.228,10,1.000,94,0.016,0.001,17.231
overview, overview-authors,0.243,27,0.907,259,0.044,0.004,91.645
overview, overview-authors,-,-,-,-,-,-,-,-
overview, overview-authors,0.332,27,0.970,262,0.054,0.004,78.791
overview, overview-author,0.271,6,1.000,53,0.008,0.001,13.349
overview, overview-author,0.271,6,1.000,53,0.008,0.002,11.842
overview, overview-author,0.271,6,1.000,53,0.008,0.001,11.968
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,6.189
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,6.225
fwt-main, fwt-main-logo,0.000,1,1.000,0,0.000,0.000,6.307
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-picker,-,-,-,-,-,-,-,-
fwt-main, fwt-main-item,0.507,12,0.750,105,0.018,0.001,20.733
fwt-main, fwt-main-item,0.444,12,1.000,105,0.018,0.002,20.191
fwt-main, fwt-main-item,0.507,12,0.750,105,0.017,0.001,20.856
fwt-main, fwt-main-footer,0.417,19,1.000,172,0.028,0.002,30.852
fwt-main, fwt-main-footer,0.417,19,1.000,172,0.026,0.002,33.619
fwt-main, fwt-main-footer,0.448,19,0.895,172,0.028,0.002,30.743
ieee, ieee-navigation,1.092,23,0.304,185,0.035,0.003,34.497
ieee, ieee-navigation,0.608,23,0.652,186,0.037,0.004,34.666
ieee, ieee-navigation,0.567,23,0.739,185,0.037,0.003,36.934
ieee, ieee-search,0.150,1,1.000,0,0.000,0.001,6.501
ieee, ieee-search,0.150,1,1.000,0,0.000,0.000,6.260
ieee, ieee-search,0.150,1,1.000,0,0.000,0.001,6.364
ieee, ieee-authors,0.830,46,0.250,464,0.133,0.002,71.259
ieee, ieee-authors,0.866,46,0.065,472,0.125,0.002,70.289
ieee, ieee-authors,1.201,46,0.054,466,0.128,0.002,70.982
ieee, ieee-articles,0.868,27,0.556,251,0.045,0.003,40.873
ieee, ieee-articles,0.698,27,0.611,251,0.048,0.002,40.697
ieee, ieee-articles,0.699,27,0.315,239,0.049,0.003,40.485
ieee, ieee-news,0.775,36,0.083,369,0.075,0.002,52.169
ieee, ieee-news,0.379,36,0.972,358,0.079,0.001,51.333
ieee, ieee-news,0.569,36,0.847,361,0.072,0.001,50.914
ieee, ieee-conferences,0.774,62,0.621,626,0.204,0.010,94.440
ieee, ieee-conferences,0.703,62,0.597,624,0.214,0.008,94.022
ieee, ieee-conferences,0.836,62,0.411,614,0.220,0.007,94.538
ieee, ieee-footer,0.690,49,0.388,432,0.130,0.008,69.527
ieee, ieee-footer,0.708,49,0.490,440,0.121,0.005,68.984
ieee, ieee-footer,0.644,49,0.735,439,0.145,0.009,69.227
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,9.232
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,9.184
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,8.930
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.004,0.000,9.007
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.000,9.021
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.000,10.730
fwt-space, fwt-space-logo,0.139,11,1.000,152,0.019,0.002,25.551
fwt-space, fwt-space-logo,0.139,11,1.000,152,0.022,0.001,25.237
fwt-space, fwt-space-logo,0.244,11,0.855,152,0.019,0.001,25.256
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.008,0.001,11.929
fwt-space, fwt-space-featured,0.319,5,0.680,51,0.008,0.000,12.018
fwt-space, fwt-space-featured,0.179,5,1.000,51,0.006,0.001,11.927
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.008,0.001,12.261
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.008,0.001,13.148
fwt-space, fwt-space-vids,0.248,5,1.000,51,0.007,0.001,11.858
fwt-space, fwt-space-blogs,0.474,13,0.923,162,0.025,0.002,25.994
fwt-space, fwt-space-blogs,0.478,13,0.923,163,0.029,0.001,29.514
fwt-space, fwt-space-blogs,0.363,13,1.000,172,0.024,0.003,25.823
fwt-space, fwt-space-social,0.000,8,1.000,80,0.013,0.000,15.241
fwt-space, fwt-space-social,0.000,8,1.000,80,0.012,0.001,15.264
fwt-space, fwt-space-social,0.000,8,1.000,80,0.012,0.001,15.355
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.002,0.001,7.512
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.516
fwt-space, fwt-space-footer,0.474,2,1.000,8,0.001,0.001,7.578
fwt-running, fwt-running-header,0.398,10,0.900,87,0.014,0.001,17.235
fwt-running, fwt-running-header,0.398,10,0.900,87,0.014,0.001,17.036
fwt-running, fwt-running-header,0.785,10,0.600,87,0.013,0.001,17.269
fwt-running, fwt-running-navigation,0.830,14,0.214,117,0.018,0.001,22.762
fwt-running, fwt-running-navigation,0.540,14,0.857,117,0.019,0.001,22.753
fwt-running, fwt-running-navigation,0.400,14,1.000,117,0.018,0.002,22.691
fwt-running, fwt-running-content,0.559,12,0.250,151,0.019,0.002,25.606
fwt-running, fwt-running-content,0.395,12,1.000,151,0.021,0.001,25.281
fwt-running, fwt-running-content,0.395,12,1.000,151,0.019,0.001,25.224
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.014,0.001,16.461
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.013,0.001,16.641
fwt-running, fwt-running-footer,0.000,9,1.000,91,0.011,0.001,16.460
synthetic, 2-boxes,0.000,3,1.000,15,0.002,0.001,8.454
synthetic, 2-boxes,0.000,3,1.000,15,0.003,0.001,8.484
synthetic, 2-boxes,0.000,3,1.000,15,0.003,0.000,8.422
synthetic, 3-boxes,0.000,4,1.000,25,0.004,0.001,9.688
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,9.775
synthetic, 3-boxes,0.000,4,1.000,25,0.003,0.001,9.728
synthetic, centered,0.000,2,1.000,5,0.001,0.001,7.154
synthetic, centered,0.000,2,1.000,5,0.001,0.001,7.074
synthetic, centered,0.000,2,1.000,5,0.001,0.001,7.202
synthetic, 2-2-boxes,0.000,7,1.000,61,0.010,0.002,13.007
synthetic, 2-2-boxes,0.000,7,1.000,55,0.010,0.001,12.935
synthetic, 2-2-boxes,0.000,7,1.000,55,0.009,0.001,12.895
synthetic, 3-2-boxes,0.000,8,1.000,68,0.011,0.001,14.177
synthetic, 3-2-boxes,0.000,8,1.000,74,0.011,0.001,14.053
synthetic, 3-2-boxes,0.000,8,1.000,74,0.013,0.001,14.173
