Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
personal, author-navigation,0.169,5,1.000,34,0.006,0.000,12.715
personal, author-navigation,0.169,5,1.000,34,0.006,0.001,11.054
personal, author-navigation,0.169,5,1.000,34,0.005,0.001,10.817
personal, author-sidebar,0.294,10,1.000,92,0.014,0.002,19.229
personal, author-sidebar,0.294,10,1.000,92,0.016,0.001,19.299
personal, author-sidebar,0.294,10,1.000,92,0.012,0.001,19.221
personal, author-bio,0.326,14,0.900,129,0.020,0.002,24.990
personal, author-bio,0.323,14,0.900,128,0.017,0.001,24.691
personal, author-bio,0.333,14,0.900,129,0.021,0.001,25.186
personal, author-pubs,-,-,-,-,-,-,-,-
personal, author-pubs,-,-,-,-,-,-,-,-
personal, author-pubs,-,-,-,-,-,-,-,-
icse, icse-logo,3.464,3,0.667,14,0.002,0.001,8.085
icse, icse-logo,3.464,3,0.667,14,0.002,0.000,7.938
icse, icse-logo,3.464,3,0.667,14,0.002,0.000,7.937
icse, icse-navigation,0.356,20,0.775,218,0.029,0.001,33.464
icse, icse-navigation,0.364,20,0.775,219,0.029,0.001,33.740
icse, icse-navigation,0.356,20,0.775,217,0.028,0.001,33.059
icse, icse-photos,0.132,20,1.000,227,0.032,0.003,31.239
icse, icse-photos,0.173,20,1.000,228,0.031,0.002,31.635
icse, icse-photos,0.132,20,1.000,227,0.028,0.001,31.698
icse, icse-tracks,0.228,25,0.940,362,0.049,0.002,91.020
icse, icse-tracks,0.228,25,0.940,363,0.044,0.002,89.829
icse, icse-tracks,0.228,25,0.940,333,0.051,0.002,98.195
icse, icse-dates,0.403,61,0.877,618,0.183,0.007,95.812
icse, icse-dates,0.421,61,0.885,633,0.168,0.006,92.096
icse, icse-dates,0.404,61,0.885,638,0.173,0.007,94.047
icse, icse-news,0.559,17,0.529,142,0.020,0.001,26.265
icse, icse-news,0.448,17,0.941,146,0.024,0.002,25.938
icse, icse-news,0.488,17,0.647,145,0.028,0.001,25.555
icse, icse-content,0.386,22,0.977,212,0.039,0.004,47.927
