Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time,
personal,author-navigation,0.169,5,1,34,0.003,0,4.269,-
personal,author-navigation,0.169,5,1,34,0.003,0,4.229,-
personal,author-navigation,0.169,5,1,34,0.003,0,4.207,-
personal,author-bio,0.333,14,0.9,129,0.012,0.001,11.62,
personal,author-bio,0.323,14,0.9,128,0.013,0.002,11.654,
personal,author-bio,0.323,14,0.9,128,0.011,0.001,12.067,
personal,author-pubs,-,20,-,-,-,-,-,
personal,author-pubs,-,20,-,-,-,-,-,
personal,author-pubs,-,20,-,-,-,-,-,
icse,icse-logo,3.464,3,0.667,14,0.001,0,2.729,-
icse,icse-logo,3.464,3,0.667,14,0.002,0,2.741,-
icse,icse-logo,3.464,3,0.667,14,0.001,0,2.732,-
icse,icse-photos,0.132,20,1,227,0.022,0.001,15.535,
icse,icse-photos,0.132,20,1,227,0.021,0.001,15.624,
icse,icse-photos,0.132,20,1,227,0.023,0.002,15.449,
icse,icse-tracks,0.228,25,0.94,362,0.033,0.001,40.245,
icse,icse-tracks,0.228,25,0.94,363,0.034,0.001,56.118,
icse,icse-tracks,0.228,25,0.94,363,0.034,0.002,48.896,
icse,icse-content,0.378,22,0.977,212,0.023,0.002,19.591,
icse,icse-content,0.382,22,0.977,212,0.025,0.002,19.884,
icse,icse-content,0.382,22,0.977,212,0.022,0.002,20.941,
icse,icse-footer,-,79,-,-,-,-,-,
icse,icse-footer,-,79,-,-,-,-,-,
icse,icse-footer,-,79,-,-,-,-,-,
hackernews,hn-header,0.661,17,0.829,175,0.016,0.001,11.942,
hackernews,hn-header,0.661,17,0.829,175,0.017,0.001,12.241,
hackernews,hn-header,0.661,17,0.829,176,0.016,0.001,11.996,
hackernews,hn-post,0.269,10,0.97,96,0.008,0.001,8.646,
hackernews,hn-post,0.385,10,0.99,99,0.009,0.001,8.297,
hackernews,hn-post,0.282,10,0.95,96,0.009,0.001,8.506,
hackernews,hn-search,0.244,2,1,7,0.001,0,2.171,
hackernews,hn-search,0.244,2,1,7,0.001,0,2.183,
hackernews,hn-search,0.244,2,1,7,0.001,0,2.226,
ace,ace-sidebar,-,240,-,-,-,-,-,
ace,ace-sidebar,-,240,-,-,-,-,-,
ace,ace-sidebar,-,240,-,-,-,-,-,
ace,ace-sidebar-logo,0.102,3,1,18,0.002,0,3.085,
ace,ace-sidebar-logo,0.102,3,1,18,0.002,0,3.168,
ace,ace-sidebar-logo,0.102,3,1,18,0.002,0,3.206,
ace,ace-option-toggle,0.385,7,1,57,0.006,0,6.587,
ace,ace-option-toggle,0.385,7,1,57,0.005,0,6.607,
ace,ace-option-toggle,0.385,7,1,57,0.006,0,6.782,
ace,ace-option-dropdown,-,5,-,-,-,-,-,
ace,ace-option-dropdown,-,5,-,-,-,-,-,
ace,ace-option-dropdown,-,5,-,-,-,-,-,
ace,ace-sidebar-footer,0.199,11,1,112,0.01,0,9.42,
ace,ace-sidebar-footer,0.199,11,1,112,0.011,0,9.254,
ace,ace-sidebar-footer,0.199,11,1,112,0.01,0,9.355,
ace,ace-editor,0.125,5,0.98,46,0.003,0.001,4.277,
ace,ace-editor,0.125,5,0.98,46,0.003,0.001,4.238,
ace,ace-editor,0.125,5,0.98,46,0.003,0.001,4.312,
ace,ace-prompt,0.141,4,1,39,0.003,0,3.958,
ace,ace-prompt,0.141,4,1,39,0.003,0,3.963,
ace,ace-prompt,0.141,4,1,39,0.003,0,3.887,
fwt-main,fwt-main-logo,0,1,1,0,0,0,1.725,
fwt-main,fwt-main-logo,0,1,1,0,0,0,1.732,
fwt-main,fwt-main-logo,0,1,1,0,0,0,1.751,
fwt-main,fwt-main-picker,0.316,137,1,1381,0.644,0.016,110.603,
fwt-main,fwt-main-picker,0.252,137,1,1386,0.604,0.011,107.913,
fwt-main,fwt-main-picker,0.304,137,1,1383,0.661,0.012,106.005,
fwt-main,fwt-main-item,0.345,12,1,108,0.01,0.001,9.206,
fwt-main,fwt-main-item,0.345,12,1,108,0.011,0.001,9.327,
fwt-main,fwt-main-item,0.345,12,1,108,0.01,0.001,8.876,
fwt-main,fwt-main-footer,0.425,19,1,165,0.018,0.001,15.145,
fwt-main,fwt-main-footer,0.425,19,1,165,0.018,0.001,15.4,
fwt-main,fwt-main-footer,0.425,19,1,169,0.018,0.001,15.121,
ieee,ieee-navigation,0.414,23,1,166,0.024,0.002,18.661,
ieee,ieee-navigation,0.334,23,1,190,0.022,0.002,18.068,
ieee,ieee-navigation,0.386,23,1,175,0.02,0.001,17.957,
