name, algorithm, rows, size, synth time, max size, mean size
ace-options-focus, hier, 1, 65, 62.50, 170.00, 41.58
ace-options-focus, hier, 1, 65, 56.57, 174.00, 41.55
ace-options-focus, hier, 1, 65, 54.25, 170.00, 41.48
ace-options-focus, hier, 1, 65, 53.64, 176.00, 41.58
ace-options-focus, hier, 1, 65, 54.47, 171.00, 41.42
ace-options-focus, hier, 2, 58, 48.95, 164.00, 40.89
ace-options-focus, hier, 2, 58, 46.77, 157.00, 40.71
ace-options-focus, hier, 2, 58, 47.75, 158.00, 41.07
ace-options-focus, hier, 2, 58, 47.24, 152.00, 40.54
ace-options-focus, hier, 2, 58, 48.54, 154.00, 40.68
ace-options-focus, hier, 3, 53, 44.19, 139.00, 42.16
ace-options-focus, hier, 3, 53, 44.47, 141.00, 41.88
ace-options-focus, hier, 3, 53, 45.06, 141.00, 42.08
ace-options-focus, hier, 3, 53, 44.47, 143.00, 42.20
ace-options-focus, hier, 3, 53, 42.73, 142.00, 42.16
ace-options-focus, hier, 4, 48, 39.67, 144.00, 43.64
ace-options-focus, hier, 4, 48, 39.80, 140.00, 43.50
ace-options-focus, hier, 4, 48, 39.58, 141.00, 43.77
ace-options-focus, hier, 4, 48, 39.00, 141.00, 43.73
ace-options-focus, hier, 4, 48, 38.97, 143.00, 44.27
ace-options-focus, hier, 5, 39, 31.00, 112.00, 39.16
ace-options-focus, hier, 5, 39, 30.75, 112.00, 40.11
ace-options-focus, hier, 5, 39, 30.47, 112.00, 40.21
ace-options-focus, hier, 5, 39, 30.43, 112.00, 39.58
ace-options-focus, hier, 5, 39, 30.11, 110.00, 39.26
ace-options-focus, hier, 6, 32, 24.82, 110.00, 38.31
ace-options-focus, hier, 6, 32, 24.56, 115.00, 38.81
ace-options-focus, hier, 6, 32, 25.12, 113.00, 39.06
ace-options-focus, hier, 6, 32, 24.78, 108.00, 39.06
ace-options-focus, hier, 6, 32, 24.09, 113.00, 39.00
ace-options-focus, hier, 7, 24, 18.29, 79.00, 33.38
ace-options-focus, hier, 7, 24, 18.09, 79.00, 33.23
ace-options-focus, hier, 7, 24, 18.41, 78.00, 33.62
ace-options-focus, hier, 7, 24, 18.13, 81.00, 34.38
ace-options-focus, hier, 7, 24, 17.63, 78.00, 33.23
ace-options-focus, hier, 8, 19, 14.87, 79.00, 34.90
ace-options-focus, hier, 8, 19, 15.01, 77.00, 34.80
ace-options-focus, hier, 8, 19, 14.67, 76.00, 34.70
ace-options-focus, hier, 8, 19, 14.83, 80.00, 34.80
ace-options-focus, hier, 8, 19, 14.78, 81.00, 34.50
ace-options-focus, hier, 9, 14, 11.40, 79.00, 38.29
ace-options-focus, hier, 9, 14, 11.70, 81.00, 37.86
ace-options-focus, hier, 9, 14, 11.56, 78.00, 37.14
ace-options-focus, hier, 9, 14, 11.40, 82.00, 38.29
ace-options-focus, hier, 9, 14, 11.32, 76.00, 36.86
ace-options-focus, hier, 10, 8, 7.11, 77.00, 36.50
ace-options-focus, hier, 10, 8, 7.21, 78.00, 37.00
ace-options-focus, hier, 10, 8, 7.20, 83.00, 39.00
ace-options-focus, hier, 10, 8, 7.15, 78.00, 37.50
ace-options-focus, hier, 10, 8, 7.11, 79.00, 37.00
ddg-minipages, hier, 1, 11, 8.52, 71.00, 39.20
ddg-minipages, hier, 1, 11, 8.49, 71.00, 39.60
ddg-minipages, hier, 1, 11, 8.56, 72.00, 39.20
ddg-minipages, hier, 1, 11, 8.47, 70.00, 39.20
ddg-minipages, hier, 1, 11, 8.43, 71.00, 39.20
ddg-minipages, hier, 2, 6, 5.15, 70.00, 31.67
ddg-minipages, hier, 2, 6, 4.97, 70.00, 31.67
ddg-minipages, hier, 2, 6, 4.98, 71.00, 32.33
ddg-minipages, hier, 2, 6, 4.96, 73.00, 32.33
ddg-minipages, hier, 2, 6, 4.98, 69.00, 31.33
ddg-minipages, hier, 3, 1, 1.74, 0.00, 0.00
ddg-minipages, hier, 3, 1, 1.73, 0.00, 0.00
ddg-minipages, hier, 3, 1, 1.74, 0.00, 0.00
ddg-minipages, hier, 3, 1, 1.73, 0.00, 0.00
ddg-minipages, hier, 3, 1, 1.72, 0.00, 0.00
ieee-authors, hier, 1, 32, 25.02, 111.00, 32.88
ieee-authors, hier, 1, 32, 25.16, 108.00, 32.65
ieee-authors, hier, 1, 32, 25.27, 110.00, 32.53
ieee-authors, hier, 1, 32, 24.88, 109.00, 32.71
ieee-authors, hier, 1, 32, 24.65, 108.00, 32.47
ieee-authors, hier, 2, 18, 14.34, 113.00, 30.70
ieee-authors, hier, 2, 18, 14.08, 107.00, 30.00
ieee-authors, hier, 2, 18, 14.21, 115.00, 30.30
ieee-authors, hier, 2, 18, 14.15, 107.00, 29.90
ieee-authors, hier, 2, 18, 14.31, 112.00, 31.20
ieee-authors, hier, 3, 4, 3.79, 34.00, 24.50
ieee-authors, hier, 3, 4, 3.68, 31.00, 23.00
ieee-authors, hier, 3, 4, 3.68, 32.00, 23.00
ieee-authors, hier, 3, 4, 3.81, 32.00, 23.50
ieee-authors, hier, 3, 4, 3.78, 31.00, 22.50
ieee-articles, hier, 1, 19, 13.50, 49.00, 29.20
ieee-articles, hier, 1, 19, 13.83, 49.00, 30.30
ieee-articles, hier, 1, 19, 13.77, 48.00, 29.40
ieee-articles, hier, 1, 19, 13.65, 51.00, 29.20
ieee-articles, hier, 1, 19, 13.54, 47.00, 28.80
ieee-articles, hier, 2, 11, 8.30, 50.00, 26.83
ieee-articles, hier, 2, 11, 8.31, 47.00, 26.33
ieee-articles, hier, 2, 11, 8.17, 49.00, 27.00
ieee-articles, hier, 2, 11, 8.38, 47.00, 26.67
ieee-articles, hier, 2, 11, 8.38, 49.00, 26.33
ieee-articles, hier, 3, 3, 3.14, 32.00, 32.00
ieee-articles, hier, 3, 3, 3.12, 32.00, 32.00
ieee-articles, hier, 3, 3, 3.16, 33.00, 33.00
ieee-articles, hier, 3, 3, 3.16, 32.00, 32.00
ieee-articles, hier, 3, 3, 3.11, 32.00, 32.00
ieee-conferences, hier, 1, 45, 33.57, 65.00, 32.92
ieee-conferences, hier, 1, 45, 34.09, 65.00, 32.54
ieee-conferences, hier, 1, 45, 33.56, 63.00, 32.65
ieee-conferences, hier, 1, 45, 34.25, 64.00, 32.31
ieee-conferences, hier, 1, 45, 33.75, 65.00, 32.81
ieee-conferences, hier, 2, 28, 21.48, 69.00, 30.41
ieee-conferences, hier, 2, 28, 21.31, 65.00, 30.18
ieee-conferences, hier, 2, 28, 21.14, 63.00, 30.24
ieee-conferences, hier, 2, 28, 21.48, 66.00, 30.00
ieee-conferences, hier, 2, 28, 21.22, 63.00, 30.59
ieee-conferences, hier, 3, 10, 7.88, 67.00, 25.83
ieee-conferences, hier, 3, 10, 7.96, 62.00, 24.83
ieee-conferences, hier, 3, 10, 7.90, 67.00, 26.00
